category,term,definition,context
Finance & Accounting,liability,負債、法的責任,The balance sheet shows a significant reduction in long-term liabilities this quarter.
Finance & Accounting,dividend,配当金,The board approved a quarterly dividend of $0.45 per share for stockholders.
Finance & Accounting,mortgage,住宅ローン、抵当,The bank offers competitive mortgage rates for first-time homebuyers.
Finance & Accounting,outlay,支出、経費,The initial capital outlay for the new factory is estimated at $12 million.
Finance & Accounting,turnover,売上高、離職率,High employee turnover has prompted the company to review its retention strategies.
Finance & Accounting,solvency,支払い能力、財務健全性,The auditors confirmed the company's solvency despite the recent downturn.
Finance & Accounting,liquidity,"資金の流動性、換金しやすさ",Maintaining sufficient liquidity is essential for meeting short-term obligations.
Finance & Accounting,depreciation,減価償却,The depreciation of manufacturing equipment is calculated over a ten-year period.
Finance & Accounting,ledger,元帳、会計帳簿,All transactions must be recorded in the general ledger by the end of each business day.
Finance & Accounting,amortize,（費用を）分割償却する,The cost of the software license will be amortized over five years.
Finance & Accounting,tariff,関税、料金表,New tariffs on imported steel have significantly increased production costs.
Finance & Accounting,remittance,送金、支払い,Please confirm receipt of the remittance sent to the overseas supplier on Monday.
Marketing & Sales,endorsement,推薦、支持（有名人による宣伝）,The celebrity endorsement significantly boosted the brand's visibility among young consumers.
Marketing & Sales,patronage,ひいき、愛顧、後援,We sincerely appreciate your continued patronage and look forward to serving you again.
Marketing & Sales,demographic,"人口統計上の、顧客層の",The marketing team analyzed demographic data to identify the most promising customer segments.
Marketing & Sales,markup,値上げ幅、利幅,The retailer applied a 40 percent markup on imported goods to cover shipping costs.
Marketing & Sales,quota,ノルマ、割り当て,Each sales representative is expected to meet their monthly quota by the last business day.
Marketing & Sales,testimonial,推薦文、お客様の声,We collected client testimonials to feature in the new product brochure.
Marketing & Sales,prospective,見込みのある、将来の,The sales team prepared customized presentations for prospective clients attending the expo.
Marketing & Sales,brochure,パンフレット、案内冊子,Updated brochures highlighting the new service plans will be available at the trade show.
Marketing & Sales,consolidate,統合する、強化する,The firm aims to consolidate its market position by acquiring two regional competitors.
Marketing & Sales,rebate,リベート、割戻し金,Customers who purchase before December 31 are eligible for a $50 mail-in rebate.
Marketing & Sales,solicit,勧誘する、求める,The company hired a team to solicit feedback from customers about the redesigned website.
Marketing & Sales,affiliate,提携先、関連会社,Revenue from affiliate partnerships accounted for 15 percent of total online sales.
Marketing & Sales,unveil,公開する、発表する,The CEO will unveil the new product line at the annual industry conference next month.
Marketing & Sales,viable,実行可能な、採算のとれる,"After extensive research, the team concluded that entering the Asian market is a viable strategy."
Marketing & Sales,niche,ニッチ、隙間市場,The company carved out a profitable niche in the premium organic skincare segment.
Operations & Logistics,expedite,促進する、迅速に処理する,We need to expedite the shipment to ensure delivery before the holiday deadline.
Operations & Logistics,procurement,調達、仕入れ,The procurement department negotiated a 10 percent discount with the new supplier.
Operations & Logistics,backlog,未処理案件、受注残,The development team is working overtime to clear the backlog of customer requests.
Operations & Logistics,logistics,物流、兵站,The logistics team is coordinating delivery schedules across three distribution centers.
Operations & Logistics,stringent,厳格な、厳しい,All products must pass stringent quality control inspections before leaving the factory.
Operations & Logistics,downtime,稼働停止時間、休止期間,Scheduled maintenance will result in approximately four hours of downtime this weekend.
Operations & Logistics,defect,欠陥、不良品,The quality assurance team identified a defect in the latest batch of components.
Operations & Logistics,bottleneck,障害、ボトルネック,A shortage of skilled technicians has become the main bottleneck in the production process.
Operations & Logistics,scrutinize,精査する、綿密に調べる,Inspectors will scrutinize every stage of the production process for safety compliance.
Operations & Logistics,throughput,処理能力、生産量,The new assembly line increased throughput by 25 percent without additional staffing.
Operations & Logistics,specification,仕様書、明細,The product must meet all specifications outlined in the engineering document.
Operations & Logistics,dispatch,発送する、急送する,Orders placed before 2 p.m. will be dispatched on the same business day.
Operations & Logistics,consignment,委託品、積荷,The consignment of raw materials arrived at the port two days ahead of schedule.
Operations & Logistics,surplus,余剰、過剰在庫,The surplus inventory will be sold at a discounted rate during the clearance event.
Operations & Logistics,oversee,監督する、統括する,The operations manager will oversee the installation of new equipment at the plant.
Communication,convey,考えや情報を伝える,The manager conveyed the board's decision to all department heads.
Communication,correspondence,書簡、やり取り（文書での連絡）,All correspondence with the client should be copied to the legal department.
Communication,paraphrase,言い換える,Could you paraphrase the client's request so the development team can understand it clearly?
Communication,acknowledge,受領を確認する、認める,Please acknowledge receipt of the contract by replying to this email.
Communication,disclose,公開する、開示する,The company is required to disclose financial results to shareholders quarterly.
Communication,articulate,明確に述べる、はっきり表現する,She articulated the project's objectives clearly during the presentation.
Communication,brief,要点を伝える、手短に説明する,The project leader briefed the executives on the status of the system migration.
Communication,advocate,主張する、提唱する,The HR director advocated for a more flexible remote work policy at the board meeting.
Communication,inquire,問い合わせる、尋ねる,Several attendees inquired about the availability of on-site parking.
Communication,concise,簡潔な、要点を押さえた,Please keep your progress reports concise and limited to one page.
Communication,deliberate,慎重に審議する,The committee will deliberate on the proposed budget before making a decision.
Communication,elaborate,詳しく述べる、詳細に説明する,The keynote speaker elaborated on the benefits of adopting renewable energy.
Communication,reiterate,繰り返し述べる、改めて強調する,I would like to reiterate the importance of meeting the submission deadline.
Communication,preliminary,予備的な、準備段階の,The preliminary findings of the survey were shared at the staff meeting.
Communication,adjourn,（会議を）中断する、休会にする,The chairperson decided to adjourn the meeting until the following Monday.
Travel & Events,itinerary,旅程表、行程,Please review the updated itinerary for next week's business trip to Singapore.
Travel & Events,lodging,宿泊施設,The company will arrange lodging for all employees attending the three-day conference.
Travel & Events,accommodate,収容する、便宜を図る,The hotel can accommodate groups of up to 200 guests for corporate events.
Travel & Events,adjacent,隣接した、近くの,The workshop will be held in the room adjacent to the main conference hall.
Travel & Events,amenity,設備、便利な施設,"The hotel offers amenities such as a business center, gym, and complimentary Wi-Fi."
Travel & Events,banquet,宴会、晩餐会,The annual awards banquet will be held at the Grand Pavilion Hotel on December 10.
Travel & Events,complimentary,無料の、招待の,All conference attendees will receive a complimentary shuttle service from the airport.
Travel & Events,excursion,小旅行、団体旅行,The company organized a weekend excursion to the lakeside resort for team building.
Travel & Events,concierge,コンシェルジュ、案内係,The hotel concierge can assist with restaurant reservations and local tour arrangements.
Travel & Events,catering,ケータリング、食事提供,We need to finalize the catering arrangements for the product launch event by Friday.
Contracts & Legal,binding,拘束力のある、法的に有効な,"Once signed, this agreement becomes legally binding for both parties."
Contracts & Legal,clause,条項、条文,The non-compete clause prevents employees from joining rival firms for two years.
Contracts & Legal,amendment,修正、改正,An amendment to the lease agreement was drafted to extend the rental period.
Contracts & Legal,waiver,権利放棄、免責同意書,All participants must sign a liability waiver before the training session begins.
Contracts & Legal,comply,従う、遵守する,All vendors must comply with the company's data protection policy.
Contracts & Legal,litigation,訴訟、法的紛争,The company chose to settle the dispute to avoid costly litigation.
Contracts & Legal,indemnify,損害を補償する、賠償する,The supplier agreed to indemnify the buyer against any defects found in the product.
Contracts & Legal,proprietary,所有権のある、専有の,Access to proprietary software is restricted to authorized personnel only.
Contracts & Legal,enforceable,強制執行できる、法的に有効な,The court ruled that the non-disclosure agreement was fully enforceable.
Contracts & Legal,terminate,契約を解除する、終了させる,Either party may terminate the contract with 30 days' written notice.
Phrasal Verbs & Idioms,carry out,実行する、遂行する,The research team will carry out a comprehensive market analysis next quarter.
Phrasal Verbs & Idioms,draw up,（書類・計画を）作成する,Our legal department will draw up a new partnership agreement by next week.
Phrasal Verbs & Idioms,bring up,話題に出す、提起する,She brought up the issue of overtime pay during the team meeting.
Phrasal Verbs & Idioms,put off,延期する、先延ばしにする,The board decided to put off the decision until more data becomes available.
Phrasal Verbs & Idioms,come up with,思いつく、考え出す,The marketing team came up with an innovative campaign for the holiday season.
Phrasal Verbs & Idioms,look into,調査する、詳しく調べる,Management has agreed to look into the complaints raised by the warehouse staff.
Phrasal Verbs & Idioms,follow up,フォローアップする、追跡確認する,Please follow up with the supplier regarding the delayed shipment.
Phrasal Verbs & Idioms,phase out,段階的に廃止する,The company plans to phase out the legacy system over the next 18 months.
Phrasal Verbs & Idioms,turn down,断る、却下する,The committee turned down the proposal due to insufficient budget allocation.
Phrasal Verbs & Idioms,run into,偶然出会う、問題に直面する,We ran into unexpected delays during the factory renovation.
Phrasal Verbs & Idioms,lay off,一時解雇する、人員削減する,The firm was forced to lay off 200 employees following the merger.
Phrasal Verbs & Idioms,cut back on,削減する、縮小する,The department needs to cut back on travel expenses for the remainder of the year.
Phrasal Verbs & Idioms,account for,占める、説明する,Online sales now account for nearly 40 percent of the company's total revenue.
Phrasal Verbs & Idioms,fill in for,代わりを務める、代理する,Ms. Tanaka will fill in for the department head while she is on parental leave.
Phrasal Verbs & Idioms,get around to,ようやく取りかかる,The manager finally got around to reviewing the budget proposals submitted last month.
Phrasal Verbs & Idioms,in the long run,長期的に見れば,Investing in employee training will benefit the company in the long run.
Phrasal Verbs & Idioms,on behalf of,〜を代表して、〜に代わって,I am writing on behalf of the marketing department to request additional funding.
Phrasal Verbs & Idioms,up to speed,最新の状態に追いついて,It took a few weeks to get the new manager up to speed on the project.
Phrasal Verbs & Idioms,back and forth,何度も往復して、行ったり来たり,"After weeks of back-and-forth negotiations, both parties reached an agreement."
Phrasal Verbs & Idioms,bottom line,最終損益、結論,The bottom line is that we need to reduce operating costs by at least 10 percent.
